node_type,rate_function_curl,rate_function_eat_memory,rate_function_env,rate_function_figlet,rate_function_nmap,rate_function_shasum
2,0.0,20.0,140.0,0.0,0.0,20.0
2,0.0,20.0,140.0,0.0,0.0,20.0
2,0.0,20.0,140.0,0.0,0.0,20.0
2,0.0,0.0,150.0,0.0,0.0,20.0
2,0.0,0.0,150.0,0.0,0.0,20.0
2,0.0,0.0,150.0,0.0,0.0,20.0
2,0.0,20.0,150.0,0.0,0.0,20.0
2,0.0,20.0,150.0,0.0,0.0,20.0
2,0.0,20.0,150.0,0.0,0.0,20.0
2,0.0,20.0,160.0,0.0,0.0,20.0
2,0.0,20.0,160.0,0.0,0.0,20.0
2,0.0,20.0,160.0,0.0,0.0,20.0
2,0.0,0.0,170.0,0.0,0.0,20.0
2,0.0,0.0,170.0,0.0,0.0,20.0
2,0.0,0.0,170.0,0.0,0.0,20.0
2,0.0,0.0,180.0,0.0,0.0,20.0
2,0.0,0.0,180.0,0.0,0.0,20.0
2,0.0,0.0,180.0,0.0,0.0,20.0
2,0.0,0.0,190.0,0.0,0.0,20.0
2,0.0,0.0,190.0,0.0,0.0,20.0
2,0.0,0.0,190.0,0.0,0.0,20.0
2,0.0,10.0,190.0,0.0,0.0,20.0
2,0.0,10.0,190.0,0.0,0.0,20.0
2,0.0,10.0,190.0,0.0,0.0,20.0
2,0.0,0.0,200.0,0.0,0.0,20.0
2,0.0,0.0,200.0,0.0,0.0,20.0
2,0.0,0.0,200.0,0.0,0.0,20.0
2,0.0,10.0,200.0,0.0,0.0,20.0
2,0.0,10.0,200.0,0.0,0.0,20.0
2,0.0,10.0,200.0,0.0,0.0,20.0
2,0.0,0.0,0.0,0.0,0.0,30.0
2,0.0,0.0,0.0,0.0,0.0,30.0
2,0.0,0.0,0.0,0.0,0.0,30.0
2,0.0,10.0,0.0,0.0,0.0,30.0
2,0.0,10.0,0.0,0.0,0.0,30.0
2,0.0,10.0,0.0,0.0,0.0,30.0
2,0.0,20.0,0.0,0.0,0.0,30.0
2,0.0,20.0,0.0,0.0,0.0,30.0
